x: tensor([[-1.5358960629,  1.1037950516, -1.4082179070,  0.6004073620,
          1.5797696114, -0.0634814352, -0.2824004889,  0.6772859097,
          0.7579450011,  0.8059085608,  0.8356891274, -1.0840733051,
         -0.0507178307,  0.7917100191, -2.0894746780,  0.0522305109],
        [-0.2470329553,  0.9248673320, -0.7261541486, -1.0687690973,
          1.2543072701,  1.1380178928, -0.6968205571, -0.2212456465,
         -0.1461791545,  0.5132835507, -0.9250084758,  0.7270058393,
          1.2836967707,  0.3634624183,  0.5556827188,  1.1861652136],
        [ 0.3477857411,  2.3412587643, -0.7050324678, -1.0564043522,
          0.9283059239, -0.3681331277,  1.0573846102, -1.0713293552,
          0.7872788310,  1.0783730745, -0.5219323039, -0.3609109223,
          0.9682846665, -0.0866536126, -0.2683442533, -0.7458027005],
        [ 1.5694671869, -0.1959268600, -0.5726951361, -1.7430300713,
         -0.1532104462,  0.4780349135,  1.5238581896,  0.0183684640,
          0.4524613023,  0.3865873218, -0.2604835331,  1.1954264641,
          0.4875510037, -1.0658047199,  0.6653705239,  1.7557274103],
        [-0.4865495563, -1.2240447998, -1.0173013210,  1.1550515890,
         -0.6941894293,  1.7349860668,  0.7129995823, -0.1211383417,
         -0.1019173488, -0.1254805624, -0.2503349483,  1.3782228231,
          0.9467913508,  0.3740715384,  0.8023552895, -1.5511486530],
        [ 1.0684708357,  2.2994096279, -0.0530448481,  0.0239071269,
          0.4542702436, -0.2982318997,  0.0089826193, -0.0458065309,
         -0.0127593409,  0.0585790426,  0.9118246436,  1.0044063330,
         -0.5959376693, -0.8049250841, -0.1561633795,  0.4723395109],
        [-0.3421153724,  0.9139685035, -0.7064985037,  2.0337240696,
         -0.9102157354, -1.8915650845,  1.6582471132, -1.7405128479,
          1.6823984385,  0.7583722472,  0.7533658147,  0.3426088393,
         -0.0963015780,  0.4118999839, -0.3493207693, -0.4540112615],
        [-1.1971801519,  0.6695548296, -0.0684607625, -0.5958950520,
          1.1164551973,  0.2880214155, -1.8904142380, -0.2027007639,
         -0.8701854944,  1.2698497772,  0.5399073362,  0.0481639020,
         -1.2349419594,  0.4222337008, -0.4613155425, -0.5885441899],
        [-1.2583523989, -2.4823305607,  0.8293557763, -0.8642300367,
         -0.2081777155, -1.4483152628, -1.0815975666,  1.1495426893,
          0.8555703163, -0.1066383198, -0.7239637375, -0.8766398430,
          0.0766662732,  0.3735659719,  0.5052193999, -1.2108588219],
        [ 0.6862142086, -0.4569019377,  1.2674854994,  0.5489990115,
