K,Torch,Triton
8.000000,0.010578,0.008426
12.000000,0.010891,0.008433
16.000000,0.010887,0.008022
20.000000,0.010718,0.008231
24.000000,0.010739,0.008237
28.000000,0.010991,0.008465
32.000000,0.010729,0.008045
36.000000,0.011004,0.008250
